model,dataset,precision,recall,accuracy,f1
sif,ab,0.9326923076923077,0.7873376623376623,0.9710952463869058,0.8538732394366197
sif,ag,0.5938989513822688,0.8912732474964234,0.9269711958102996,0.7128146453089245
sif,ia,0.0,0.0,0.7570093457943925,0.0
sif,wm,0.8253205128205128,0.8940972222222222,0.9723307291666666,0.8583333333333333
rnn,ab,0.9788961038961039,0.9788961038961039,0.9954727494340937,0.9788961038961039
rnn,ag,0.9578059071729957,0.9742489270386266,0.9930171661332557,0.9659574468085106
rnn,ia,1.0,1.0,1.0,1.0
rnn,wm,0.9947826086956522,0.9930555555555556,0.9988606770833334,0.9939183318853171
attention,ab,0.9818511796733213,0.8782467532467533,0.9851993731499217,0.9271636675235646
attention,ag,0.9203910614525139,0.9427753934191703,0.9858888565609544,0.9314487632508833
attention,ia,1.0,0.9615384615384616,0.9906542056074766,0.9803921568627451
attention,wm,0.9697508896797153,0.9461805555555556,0.9921875,0.9578207381370827
hybrid,ab,0.9171075837742504,0.8441558441558441,0.9751001218875153,0.879120879120879
hybrid,ag,0.9406077348066298,0.9742489270386266,0.9911259819610125,0.9571328179901617
hybrid,ia,0.9866666666666667,0.9487179487179487,0.9844236760124611,0.9673202614379085
hybrid,wm,0.9928443649373881,0.9635416666666666,0.9959309895833334,0.9779735682819383
