model,dataset,precision,recall,accuracy,f1
sif,ab,0.33962264150943394,0.17475728155339806,0.8747390396659708,0.23076923076923078
sif,ag,0.3758620689655172,0.4658119658119658,0.8665503706934148,0.416030534351145
sif,ia,0.0,0.0,0.7522935779816514,0.0
sif,wm,0.30864197530864196,0.12953367875647667,0.8906783796974134,0.1824817518248175
sif,dplb,0.930835734870317,0.3018691588785047,0.8657262277951933,0.455892731122089
rnn,ab,0.4074074074074074,0.32038834951456313,0.8768267223382046,0.3586956521739131
rnn,ag,0.5279503105590062,0.36324786324786323,0.9018752725686873,0.430379746835443
rnn,ia,0.9230769230769231,0.4444444444444444,0.8532110091743119,0.6
rnn,wm,0.2857142857142857,0.13471502590673576,0.8867740361151781,0.18309859154929575
rnn,dplb,0.9127450980392157,0.8700934579439252,0.9602925809822361,0.8909090909090909
attention,ab,0.45714285714285713,0.46601941747572817,0.8830897703549061,0.46153846153846156
attention,ag,0.45410628019323673,0.4017094017094017,0.8896641953772351,0.42630385487528344
attention,ia,0.7647058823529411,0.48148148148148145,0.8348623853211009,0.5909090909090909
attention,wm,0.3141025641025641,0.2538860103626943,0.8775012201073694,0.2808022922636103
attention,dplb,0.9231481481481482,0.9317757009345794,0.9728317659352143,0.9274418604651162
hybrid,ab,0.627906976744186,0.5242718446601942,0.9154488517745303,0.5714285714285714
hybrid,ag,0.4148936170212766,0.3333333333333333,0.8839947666812037,0.36966824644549756
hybrid,ia,0.9444444444444444,0.6296296296296297,0.8990825688073395,0.7555555555555556
hybrid,wm,0.35233160621761656,0.35233160621761656,0.8779892630551489,0.35233160621761656
hybrid,dplb,0.935064935064935,0.9420560747663551,0.9770114942528736,0.9385474860335196
majority_vote,wm,0.3697478991596639,0.22797927461139897,0.8906783796974134,0.28205128205128205
average,wm,0.41333333333333333,0.16062176165803108,0.8994631527574427,0.2313432835820895
majority_vote,ab,0.519774011299435,0.44660194174757284,0.8961377870563675,0.4804177545691906
average,ab,0.6,0.3786407766990291,0.906054279749478,0.4642857142857143
majority_vote,ag,0.5333333333333333,0.47863247863247865,0.904055822067161,0.5045045045045046
average,ag,0.6111111111111112,0.37606837606837606,0.9119058002616659,0.46560846560846564
majority_vote,dplb,0.9322820037105751,0.9392523364485982,0.9759665621734587,0.9357541899441341
average,dplb,0.9575936883629191,0.9074766355140187,0.9752699407871822,0.9318618042226487
majority_vote,ia,0.9333333333333333,0.5185185185185185,0.8715596330275229,0.6666666666666667
average,ia,0.9285714285714286,0.48148148148148145,0.8623853211009175,0.6341463414634146
meta_matcher,ab,0.6853932584269663,0.5922330097087378,0.9269311064718163,0.6354166666666667
meta_matcher,ag,0.5724907063197026,0.6581196581196581,0.914958569559529,0.6123260437375745
meta_matcher,ia,0.9285714285714286,0.9629629629629629,0.9724770642201835,0.9454545454545454
meta_matcher,wm,0.358974358974359,0.3626943005181347,0.8789653489507077,0.36082474226804123
meta_matcher,dplb,0.940959409594096,0.9532710280373832,0.9801462904911181,0.947075208913649
