file,method,accuracy,precision,recall,f1,tp,tn,fp,fn
big_scores_ab__test_full,majority_vote,0.8961377870563675,0.519774011299435,0.44660194174757284,0.4804177545691906,92,1625,85,114
big_scores_ab__test_full,average_threshold,0.906054279749478,0.6,0.3786407766990291,0.4642857142857143,78,1658,52,128
big_scores_ag__test_full,majority_vote,0.904055822067161,0.5333333333333333,0.47863247863247865,0.5045045045045046,112,1961,98,122
big_scores_ag__test_full,average_threshold,0.9119058002616659,0.6111111111111112,0.37606837606837606,0.46560846560846564,88,2003,56,146
big_scores_ia__test_full,majority_vote,0.8715596330275229,0.9333333333333333,0.5185185185185185,0.6666666666666667,14,81,1,13
big_scores_ia__test_full,average_threshold,0.8623853211009175,0.9285714285714286,0.48148148148148145,0.6341463414634146,13,81,1,14
big_scores_wm__test_full,majority_vote,0.8906783796974134,0.3697478991596639,0.22797927461139897,0.28205128205128205,44,1781,75,149
big_scores_wm__test_full,average_threshold,0.8994631527574427,0.41333333333333333,0.16062176165803108,0.2313432835820895,31,1812,44,162
big_scores_dplb__test_full,majority_vote,0.9759665621734587,0.9322820037105751,0.9392523364485982,0.9357541899441341,1005,4599,73,65
big_scores_dplb__test_full,average_threshold,0.9752699407871822,0.9575936883629191,0.9074766355140187,0.9318618042226487,971,4629,43,99
