id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
4482,0,instant immersion japanese 2.0,topics entertainment,19.99,instant immersion italian platinum ( win 95 98 me nt 2000 xp ),,129.99
2129,0,snap ! spelling ( jewel case ),topics entertainment,19.95,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
1466,0,scholastic brain play : pre-kindergarten 1st grade,topics entertainment,19.99,brain play 1st-3rd grade,,17.9
1819,0,warlords 3 ( jewel case ),red-orb-entertainment,,total 3d home deluxe ( jewel case ) ( jce-th6 ),,9.59
3817,0,microsoft office small business 2007,microsoft software,735.33,microsoft office 2004 for students and teachers ( mac ),,134.99
4419,0,punch ! professional home design suite,punch ! software,69.99,instant home design 3.0,,15.9
4645,0,adobe photoshop cs3 extended upgrade [ mac ],adobe,349.0,adobe photoshop cs3 ( mac os x v. 10.4.8 ),,649.0
6560,0,microsoft word 2004 ( mac ),microsoft,229.99,microsoft ( r ) works suite 2005,,99.99
5046,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
39,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57
1661,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
5374,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion japanese crash course,,6.56
246,0,adobe creative suite cs3 design standard upgrade,adobe,399.0,adobe creative suite 3 design standard complete package 1 user academic windows,,369.0
2730,0,onone software intellihance pro 4.1,onone software,,onone software ice-10770 intellihance pro 4.1 mac/win ( buy now and get free cs3 compatibility upgrades ),onone software,158.99
4472,0,adobe after effects cs3 upgrade,adobe,299.0,adobe cs3 master collection upsell from cs2,,1437.99
6493,0,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch software pro home design suite,,61.8
335,0,emc retrospect 7.5 professional for windows upgrade,dantz,,adobe after effects professional 7 software for windows effects software,,999.0
5757,0,emedia guitarpro 5 win/mac,emedia,59.99,emedia music corp emedia guitar basics,,16.64
4641,0,quickbooks simple start 2007,intuit,99.95,quicken ( r ) premier 2007,,79.99
3728,0,emc retrospect 7.5 professional for windows upgrade,dantz,,adobe cs3 flash professional upgrade,,205.99
3536,0,microspot x-rip ( mac ),microspot ltd,349.99,microspot macdraft pe personal edition,,85.99
3799,0,instant immersion italian deluxe 2.0,topics entertainment,49.99,topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box ),,31.06
4145,0,instant immersion french deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,22.9
5683,0,classification & ecology ( win/mac ) ( jewel case ),fogware publishing,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
1644,0,instant immersion japanese 2.0,topics entertainment,19.99,topics entertainment instant immersion spanish audio deluxe,,17.55
2087,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 design standard upgrade windows,,413.99
5899,0,marine aquarium & goldfish screen saver by encore software,encore software,,encore software 25005 encore marine aquarium v. 2.0 complete product screen saver 1 user ( s ) complete product standard pc mac,,18.97
4132,0,readiris pro 11,global marketing partners,129.99,iris inc readiris pro 11 corporate edition,,430.58
3278,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,corel intervideo windvd 8 gold software for windows authoring software,,49.95
5008,0,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,peachtree ( r ) compatible continuous checks-accounting for windows 8.0-2004 version,,91.59
3067,0,microsoft visual studio professional w/msdn professional 2005 renewal,microsoft software,799.0,microsoft office and windows training professional,,29.99
76,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
3586,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft office 2004 software suite oem mac apple & mac software,,239.95
1826,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,publisher 2007 upgrade microsoft 164-04052,,69.71
6410,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe premiere pro 2.0 software professional editing software,,848.95
4814,0,h & r block taxcut 2006 home & business + state,h & r block,79.99,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software,,54.95
617,0,the print shop 22 sb cs by the print shop,encore software,,encore software 11941 the print shop zoom,,17.97
5503,0,microsoft windows xp professional full version with sp2,microsoft,299.99,microsoft windows vista business 32-bit oem,,149.99
3730,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe photoshop cs3 extended software full version for windows,,969.0
5039,0,punch ! home design architectura series 18,punch ! software,129.99,24100 punch ! 5 in 1 home design complete package 1 user cd win,,36.28
9,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95
5836,0,adobe creative suite cs3 production premium upsell,adobe,1199.0,production prem cs3 mac upgrad,adobe software,805.99
3155,0,learn english ( win/mac ) ( jewel case ),fogware publishing,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
5891,0,adobe photoshop cs3 extended upgrade [ mac ],adobe,349.0,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
4620,0,land before time : preschool,brighter-minds-media-inc .,9.99,the land before time : kindergarten adventure,,12.9
2228,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft money 2007 home and business ( pc ),,89.99
6328,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe cs3 master collection academic,,939.99
2839,0,punch ! ultimate deck and landscape,punch ! software,29.0,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99
1748,0,adobe creative suite cs3 master collection [ mac ],adobe,2499.0,adobe ( r ) publishing collection 12.0,,995.87
2902,0,3d home architect landscape design deluxe version 9,encore,29.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99
2214,0,reference success deluxe 2006,topics entertainment,49.95,middle school success deluxe 2008 ( pc/mac ) topics,,49.99
1177,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,iparrot spanish/english phrase translator software for ipod ipod software,,19.95
5866,0,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 upgrade for mac,,206.99
3641,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,mavis beacon teaches typing 16 deluxe,,34.9
4562,0,peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users ),sage software,1199.99,sage software peachtree complete accounting 2007 software for windows tax & finance software,,249.95
5464,0,instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion spanish audio deluxe,,17.55
2628,0,adobe creative suite cs3 web standard upsell [ mac ],adobe,799.0,total training for adobe creative suite 3 design premium,,279.95
2224,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac upsell from std-pro,,145.99
2198,0,1pk internet sec ste 2007 oem,ca oem,,internet security suite 2007 home protection pack xl box,,61.06
1960,0,steinberg cubase studio 4,steinberg,499.99,steinberg wavelab studio 6 audio editing software music production software,steinberg-media-technologies,299.95
6010,0,ibm rational clearcase lt v. 6.0.0 media vol passport passport adva,ibm,,bt00nna ibm rational clearcase lt v. 6.0.0 media cd win hp-ux solaris en,,108.95
3169,0,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,t74-00004 microsoft windows small business server 2003 license 20 additional user cals,,1834.4
3821,0,national parks : enhanced scenery add-on for microsoft flight simulator 2002 & 2000,abacus,19.99,9am-00014 microsoft flight simulator x deluxe edition complete package 1 user pc d,,42.79
6783,0,instant immersion italian deluxe 2.0,topics entertainment,49.99,instant immersion 33 languages,topics entertainment,43.99
1240,0,disney 2nd grade active leveling advantage w buzz ( jewel case ) ages 6-8,disney interactive,9.99,disney 's buzz lightyear 2nd grade,,8.95
4231,0,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,,10759354 symantec backup exec 11d for windows small business server agent for windows sys,,260.63
22,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
5888,0,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,adobe cs3 master collection upsell from cs2,,1437.99
6303,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 design premium upgrade,,619.99
1441,0,adventure workshop 1st-3rd grade 8th edition,encore,19.99,encore software 12411 encore adventure workshop preschool-1st grade 8th edition educational pc,,17.97
5913,0,middle school success deluxe 2008,topics entertainment,49.99,high school success deluxe 2006,,7.9
6330,0,stationery design studio,summit software,19.99,punch software 90500 home design studio mac,punch software,135.99
5198,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft powerpoint mac 2004 version upgrade,,89.99
5486,0,microsoft works suite 2006,microsoft,99.0,microsoft microsoft office pro 2004 software suite mac apple & mac software,,498.95
6739,0,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe premiere pro cs3 academic,,339.99
3791,0,instant immersion french deluxe 2.0,topics entertainment,49.99,topics entertainment instant immersion german 2.0,,17.55
4647,0,punch ! master landscape & home design,punch ! software,59.99,punch software 25100 punch ! master landscape and home design,punch software,45.99
5920,0,microsoft windows xp home edition full version with sp2,microsoft,199.0,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
6691,0,corel wordperfect office x3 professional edition,corel,399.99,crystal reports xi professional edition complete package,,537.57
5622,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft windows vista business ( pc ),,299.99
3082,0,upgrade emc retrospect 7.5 multi server windows only,dantz,,emc insignia retrospect server client v. 7.5 complete package,,181.97
5960,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium upgrade,,619.99
2825,0,microsoft office small business 2007,microsoft software,735.33,microsoft ( r ) office standard 2007,,399.99
787,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 production premium upsell,,1234.99
3122,0,the computrace lojack for laptops computer tracking and loss control solution by,lenovo,,absolute software lfl-m2-36 computrace lojack for laptops 3 year license mac 10.2 or higher,,80.97
5782,0,adobe premiere pro cs3,adobe,799.0,premiere pro cs3 mac upgrade,,320.25
1645,0,procurve vpn client software unlimited client licenses,hewlett packard,,d-link vpn client software ( 1-user license ) ds-601 ds-601,,42.99
3149,0,sibelius 4 professional edition,sibelius-software-ltd .,599.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99
3307,0,instant immersion spanish 2.0,topics entertainment,29.99,topics entertainment instant immersion spanish audio deluxe,,17.55
145,0,peachtree by sage complete accounting 2007,sage software,269.99,peachtree ( r ) complete iii for dos 5.0-10 .0 continuous checks,,144.59
2233,0,battlefield 1942 : deluxe edition,electronic arts,29.99,mastercook deluxe low carb edition,,17.9
5492,0,microsoft onenote 2007,microsoft,99.95,microsoft office accounting professional 2007 ( pc ),,229.95
4843,0,instant immersion french deluxe 2.0,topics entertainment,49.99,photo explosion deluxe ( r ) 2.0,,49.99
4494,0,punch ! professional home design,punch ! software,89.99,adobe acrobat professional 7,,350.0
4689,0,sonicwall gms standard edition 10 node license,sonicwall,,01-ssc-7172 sonicwall cfs standard edition for totalsecure 10/25 series subscription licen,,300.54
5207,0,microsoft productivity pack for windows mobile,microsoft,29.99,microsoft windows xp pro sp2 retail,,299.99
4862,0,instant immersion spanish 2.0,topics entertainment,29.99,instant immers italian dlux 2 .,,36.11
4672,0,jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99,knowledge adventure inc. jumpstart advanced preschool v2 .0,,16.93
4186,0,print workshop 2007,valusoft,19.99,print workshop 2006 limited edition + 800000 + images,,7.95
2009,0,cakewalk sonar 6 producer ed,cakewalk,799.0,cakewalk sonar 5 studio edition music production software,,229.95
869,0,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe cs3 design standard,,1243.99
1484,0,blues clues preschool,humongous entertainment,,reader rabbit preschool,the-learning-company,17.9
1949,0,microsoft windows server 2003 client additional license for users-5 pack,microsoft,809.0,eu063av aba microsoft windows xp professional license and media 1 user cto english -,,137.09
4073,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
6831,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,19600061dm adobe creative suite 3 production premium media tlp download mac world,,20.97
32,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
5192,0,peachtree by sage complete accounting 2007,sage software,269.99,peachtree ( r ) compatible continuous checks-accounting for windows 8.0-2004 version,,144.59
4917,0,microsoft office & windows training professional,topics entertainment,49.95,microsoft academic microsoft office project 2003 standard,,69.95
816,0,micromat protogo,micromat,,micromat inc. diskstudio,,43.36
3776,0,onone essentials for adobe photoshop elements,onone software,59.95,adobe photoshop elements 4.0 photo-editing software for mac,,85.95
15,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0
4766,0,power on now up to date & contact windows,power-on-software,129.99,powerhouse migo for ipod for windows,,71.99
3857,0,microsoft outlook 2007,microsoft,109.95,microsoft 392-02322 ae frontpage 2003,,87.99
448,0,wasp bar code wasp bar code labeler complete package 3 users std cd -,wasp technologies,,snt-040 ntracker complete package 1 user win,,26.59
3724,0,instant immersion italian v2 .0 ( large box ),topics entertainment,29.99,instant immersion spanish 2.0 topics,,19.99
3654,0,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,m-audio,299.99,ableton live 6 software music production software,,499.0
2456,0,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe photoshop elements 4.0 mac academic,adobe-education-box,69.99
3074,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat ( v8 .0 ) pro win up from std adobe 22020452,,151.27
1863,0,microsoft office small business 2007 full version,microsoft,449.95,office pro 2007 upgrade microsoft 269-10294,,257.71
1472,0,punch ! 5 in 1 home design,punch ! software,39.99,punch software 41100 punch ! home design architectural series 18,punch software,118.99
3624,0,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft ( r ) word 2007,,109.99
766,0,punch ! home design architectural series 4000 v10,punch ! software,199.99,punch software 42100 punch ! home design architectural series 18 ( small box ),punch software,119.99
6385,0,kaplan sat/act/psat gold 2007 win/mac,topics entertainment,29.99,kaplan sat/act/psat express,,9.99
5064,0,elementary advantage 2008,encore software,,elementary school success deluxe 2006,,12.95
6859,0,microsoft windows vista ultimate upgrade [ dvd ],microsoft,259.95,microsoft windows xp professional edition ( upgrade ),,199.99
3842,0,wasp bar code wasp bar code labeler complete package 3 users std cd -,wasp technologies,,adobe flash cs3 professional complete package 1 user academic cd windows,,229.0
3823,0,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0,microsoft visual basic . net standard 2003,,108.95
5935,0,microsoft office small business 2007,microsoft software,735.33,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
3225,0,onone essentials for adobe photoshop elements,onone software,59.95,adobe ( r ) photoshop ( r ) 7.0 upgrade for pc,,679.99
281,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft office 2004 software suite oem mac apple & mac software,,239.95
5142,0,instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion japanese ( audio book ) ( audio book ),,19.95
19,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95
6689,0,global software smart steps 1st grade windows macintosh ),global software,,global software a8658jch smart steps kinder win 95 98 me 2000 xp vista,,9.08
5402,0,microsoft upg win small business svr cal t74-01215 ),microsoft corporation,330.14,microsoft r39-00292 open win svr 2003 ext conn,,1863.78
6079,0,microsoft onenote 2007,microsoft,99.95,microsoft ( r ) money 2007 deluxe,,49.99
349,0,state standards grade 6,topics entertainment,29.95,adobe cs3 design standard upgrade,,413.99
1111,0,system care professional,avanquest,49.95,ghostsurf professional utilities software,,29.92
347,0,microsoft windows xp professional upgrade with sp2,microsoft software,199.99,microsoft windows vista home basic upgrade ( pc ),,99.99
1778,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,publisher 2007 upgrade microsoft 164-04052,,69.71
963,0,instant immersion french deluxe 2.0,topics entertainment,49.99,topics entertainment instant immersion hawaiian audio,,12.05
682,0,microsoft windows xp professional full version with sp2,microsoft,299.99,microsoft windows vista business ( pc ),,299.99
5548,0,professor teaches excel & word,individual software,19.99,individual software professor teaches excel and word,,42.99
5391,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe photoshop cs3 for mac upgrade,,189.99
4027,0,microsoft windows xp professional full version with sp2,microsoft,299.99,microsoft windows xp home edition sp2 retail box,,199.99
