id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
6135,0,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,electronics - general,,,,da-lite da-plex standard rear projection screen - 94 1 2 x 168 hdtv format da-lite,projection screens,,27149,7864.0
1211,0,da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format da-lite 27590,electronics - general,,,4635.99,da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format projection screens,,da-lite,,
3847,0,philips 10-outlet 2500j surge protector electronics - general spp4101b/17,,philips,,0.0,apc 11-outlet 3020j surge protector 30.74,surge protectors,apc,p11vnt3,
4277,0,ifrogz ipod touch 4 luxe original case blue black,mp3 accessories,ifrogz,it4lo-blu/blk,29.99,ifrogz luxe lean case for ipod touch 4g gun metal cases ifrogz,,,it4ll-gmt,11.99
958,0,corsair xms2 4 gb 2 x 2 gb pc2-6400 800 mhz 240-pin ddr2 dual-channel memory kit - twin2x4096-6400c5 corsair twin2x4096-6400c5 74.82,memory,,,,corsair memory vs4gbkit800d2 4 gb pc2-6400 800mhz 240-pin ddr2 dual channel desktop memory vs4gbkit800d2,computers accessories,corsair,,44.99
2203,0,xerox 108r00657 extended-capacity maintenance kit for work centre c2424 printers 154.84,,xerox,108r00657,,ld xerox phaser 8400 remanufactured 108r00603 extended-capacity maintenance kit laser printer toner,,4inkjets,,129.99
1119,0,xfx radeon hd6850 pcie 1gb ddr5 graphics card 195.0,electronics - general,xfx,hd685xzndc,,radeon xfx hd 6970 2 gb graphics card graphics cards xfx 349.99,,,hd697acnfc,
640,0,belkin f1dd104l soho 4-port dvi usb kvm switch belkin 188.84,networking,,f1dd104l,,belkin f1da116z 16-port ps2 usb pro3 kvm switch kvm switches belkin f1da116z 347.99,,,,
237,0,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,electronics - general,,,,da-lite da-plex unframed rear projection screen - 108 x 144 video format projection screens da-lite 8094.0,,,27514,
3111,0,casio exilim ex-zs5 14.1 mp digital camera silver w 5x optical zoom 2.7 lcd display casio,digital cameras,,,100.0,casio exilim ex-z35 12 mp digital camera with 3x optical zoom and 2.5-inch lcd silver,point shoot digital cameras,casio,exz35sr,
1267,0,da-lite da-glas deluxe rear projection screen - 50 x 50 av format electronics - general 1919.99,,da-lite,27647,,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,
2655,0,keyspan usb twin serial adapter electronics - general keyspan 70.73,,,usa-28xg,,keyspan usa-28x external usb to serial adapter connectors adapters keyspan,,,,
5349,0,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format da-lite 7452.99,electronics - general,,27573,,da-lite da-plex self trimming rear projection screen - 94 1 2 x 168 hdtv format projection screens,,da-lite,27151,9233.33
573,0,acco vinyl report cover prong clip letter 1 2 capacity 10-pack stationery & office machinery acco,,,26101,10.94,plastic report cover prong clip letter 3 printer accessories,,acco,,
4917,0,da-lite da-plex self trimming rear projection screen - 60 x 60 av format electronics - general 27575 2680.99,,da-lite,,,da-lite da-plex thru-the-wall rear projection screen - 72 x 96 video format projection screens da-lite 10252.0,,,23049,
3547,0,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,electronics - general,,,,da-plex base rear projection screen - 40 1 4 x 53 3 4 video format projection screens da-lite 1525.99,,,,
442,0,da-lite da-mat tensioned advantage electrol - av format 8 x 10 diagonal da-lite 84374,electronics - general,,,3077.99,hc da-mat tensioned advantage deluxe electrol - hdtv format size 92 diagonal da-lite 3740.0,projection screens,,,
1370,0,philips 6-outlet 3 surge protector electronics - general,,philips,spp3160c/17,0.0,apc p8vt3 8 outlet 2525j surge protector surge protectors apc,,,p8vt3,22.17
3481,0,hon 10500 workstation right pedestal desk 66w x 30d x 29-1 2h mahogany furniture,,hon,10584lnn,599.0,new-hon 10716lnn - 10700 l workstation return left 3 4 pedestal 48w x 24d x 29-1 2h mahogany - hon10716lnn hon 276.0,laminating supplies,,,
4000,0,edge 512mb 1x512mb pc2100 nonecc unbuffered 200 pin ddr sodimm edge pe187378 22.88,memory,,,,edge - memory - 512 mb - so dimm 200-pin - ddr - 266 mhz pc2100 - unbuffered - non-ecc computers accessories edge 13.99,,,,
3233,0,philips vibe 4gb mp3 video player philips sa2vbe04kc/17 39.98,mp3,,,,philips gogear vibe 8gb mp3 player sa3vbe08k 37 mp3 players philips,,,sa3vbe08k/37,49.0
497,0,canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints 156.54,digital cameras,canon,5035b001aa,,canon powershot a800 10 mp digital camera with 3.3 x optical zoom black canon,point shoot digital cameras,,a800 ( black ),89.0
4235,0,kingston valueram 2gb ddr3 sdram desktop memory module memory kingston,,,kvr1333d3ls4r9s/2g,63.88,kingston valueram 512mb pc133 sdram dimm desktop memory kvr-pc133 512r retail kingston,computers accessories,,kvr-pc133 / 512r,
3070,0,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,electronics - general,,zt-40604-10l,88.88,msi geforce 210 512 mb ddr2 pci-express 2.0 graphics card md512h,computers accessories,msi,n210-md512h,
41,0,visontek wireless candyboard mini keyboard with touchpad visiontek 59.82,electronics - general,,900319,,visiontek candyboard bluetooth wireless mini keyboard with touchpad 900335 black visiontek 900335 49.99,keyboards,,,
331,0,wintec filemate 4gb compactflash memory card usb drives 3fmcf4gb-r 15.98,,wintec,,,wintec filemate 64 gb professioal compactflash card wintec 182.99,memory cards,,3fmcf64gbp-r,
3758,0,pendaflex cutless watershed file folders 1 3 cut top tab letter manila 100 per box stationery & office machinery 22.69,,,48434,,pendaflex 62699 - archival pressboard file folders 1 3 cut top tab letter manila 100 box,printers,pendaflex,,
5527,0,belkin shield micra for ipod touch tint belkin,mp3 accessories,,f8z646ttc01,47.88,belkin shield eclipse case for ipod touch 4g vivid blue belkin f8z647ttc04 14.99,cases,,,
2649,0,swingline optima powerease stapler graphite stationery & office machinery swingline 23.94,,,87850,,swingline 87810 - optima grip full strip stapler 25-sheet capacity graphite desktop staplers swingline 38.59,,,,
2186,0,lexmark 12a8425 black high-yield toner print cartridge 12a8425,printers,lexmark,,302.4,lexmark 12a6830 black standard-yield toner cartridge printer ink toner 109.99,,lexmark,,
220,0,wisconsin badgers iphone 4 case black shell electronics - general fva3175 29.99,,tribeca,,,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99
3973,0,da-lite da-plex deluxe rear projection screen - 58 x 104 hdtv format electronics - general,,da-lite,27571,4629.99,da-lite da-glas thru-the-wall rear projection screen - 72 x 96 video format 8968.99,projection screens,da-lite,23050,
710,0,v7 10 cat6 snagless molded network patch cable gray electronics - general,,v7,v7n2c6-10f-grys,5.88,v7 cat5e snagless molded network patch cable rj45 male to male red 25-feet v7n3c5e-25f-reds v7 v7n3c5e-25f-reds,ethernet cables,,,5.23
1780,0,microsoft wireless mobile mouse 4000 sgkomen pink microsoft,mice,,d5d-00052,20.0,microsoft wireless mobile mouse 6000 - black mhc-00001,mice,microsoft,,26.82
5368,0,green onions supply 10.1 anti-glare screen protector green onions supply rt-spfg101w / m,electronics - general,,,22.88,green onions supply anti-glare ag2 screen protector for 15.6-inch widescreen laptop with micro-fiber wiping cloth green rt-spf10156w / m,screen protectors,,,27.49
3579,0,logitech f540 wireless headset logitech 981-000277,electronics - general,,,163.0,logitech wireless mouse m215 mice logitech 910-001543,,,,18.49
1097,0,elite m119xws1 screens manual series pull down projection screen electronics - general m119xws1,,elite screens,,96.84,elite screens manual pull down projection screen 16 9 aspect ratio-135in matte white projection screens,,elite,m135uwh,183.08
4158,0,v7 3 cat6 snagless molded network patch cable black v7n2c6-03f-blks,electronics - general,v7,,4.88,v7 cat5e snagless molded network patch cable rj45 male to male black 25-feet v7n3c5e-25f-blks v7n3c5e-25f-blks,ethernet cables,v7,,5.39
5693,0,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format da-lite 20030 1600.0,electronics - general,,,,da-lite 27660 da-glas deluxe rear projection screen - 72 x 96 video format projection screens da-lite,,,,
2022,0,buffalo technology mediastation 6x blu-ray writer buffalo technology,electronics - general,,brpx68u2bk,164.82,buffalo technology mediastation 12x usb 3.0 3d ready external blu-ray burner br3d-12u3 black internal optical drives br3d-12u3,,buffalo technology,,255.55
4825,0,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,hitachi lifestudio mobile 500gb usb 2.0 portable external hard drive 0s02696 graphite external hard drives hitachi,,,0s02696,59.97
236,0,brother tn360 black toner cartridge brother tn360,printers,,,45.54,oki 43502001 type 9 black toner cartridge,printer ink toner,oki data,43502001,68.11
1960,0,san diego chargers camera case tribeca fva2845 19.99,electronics - general,,,,san diego chargers brown pro-grip optical mouse computers accessories,,fanatics,,
4325,0,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,,,,39.84,epson t044120 durabrite black ink cartridge t044120 9.19,inkjet printer ink,epson,,
5525,0,lexmark 16 black print cartridge 10n0016 lexmark 28.0,printers,,10n0016,,lexmark no 14 black return prog print cartridge 14.56,inkjet printer ink,lexmark,18c2090,
4290,0,wintec filemate 4gb compactflash memory card usb drives 3fmcf4gb-r 15.98,,wintec,,,wintec filemate 8 gb s-professional compactflash card wintec,memory cards,,3fmcf8gbs-r,25.99
5459,0,kodak esp 3250 all-in-one printer value bundle,printers,,,58.0,kodak esp c310 all-in-one printer 2858320,all-in-one printers,kodak,1985613,
184,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,epson t077920 77 high capacity color ink cartridges multi-pack inkjet printer ink epson t077920 66.9,,,,
