id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
0,0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,,
1,0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,
2,0,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92
3,0,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format projection screens,,da-lite,,
4,0,pc treasures wireless optical mouse 2.4 ghz purple 07227,mice,pc treasures,,17.82,inland pro 2.4 ghz wireless optical mouse 07441 12.98,mice,inland,,
6,0,msi ati radeon hd6670 1gb ddr5 pci-express video card msi r6670-md1gd5 107.0,electronics - general,,,,xfx ati radeon hd6570 1 gb ddr3 vga dvi hdmi pci-express video card hd657xzhf2 77.64,graphics cards,xfx,hd657xzhf2,
7,1,sumdex slr camera sling pack 39.99,mp3 accessories,sumdex,144952,,slr camera sling pack sumdex poc-484bk,cases bags,,,44.59
12,0,incipio smart feather for apple ipad 2 light blue electronics - general,,incipio,ipad-227,33.25,incipio ipad-209 feather for apple ipad 2 - iridescent purple touch screen tablet accessories incipio ipad-209,,,,21.16
13,0,avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack 16.67,stationery & office machinery,avery,,,avery 5692 - laser cd dvd labels matte white 40 pack computers accessories avery,,,,
14,0,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99,projection screens,,,
16,0,nzxt phantom crafted series atx full tower steel chassis black nzxt 139.82,electronics - general,,nzxt phantom,,nzxt crafted series atx full tower steel chassis - phantom white with red trim computer case cs-nt-phan-wnr white red nzxt cs-nt-phan-wnr,computer cases,,,139.99
17,0,da-lite high power model b manual screen with csr - 60 x 80 video format electronics - general 369.99,,da-lite,85319,,honey maple veneer model b manual screen with high power fabric - av format size 60 x 60 projection screens,,da-lite,,
18,0,sharpie permanent markers fine point - black - 12 count,stationery & office machinery,sharpie,30001wm,8.24,new-sharpie 37001 - permanent markers ultra fine point black dozen - san37001,shredders,sharpie,,27.07
20,0,canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints 156.54,digital cameras,canon,5035b001aa,,canon powershot a470 7.1 mp digital camera with 3.4 x optical zoom gray b0012ya6p2,point shoot digital cameras,canon,,
25,1,netgear powerline av 500 adapter networking netgear,,,xav5001100nas,79.82,netgear xav5001 powerline av 500 adapter powerline network adapters netgear,,,xav5001-100nas,69.99
30,0,da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format electronics - general 27602,,da-lite,,920.99,da-lite 27903 da-plex self trimming rear projection screen - 96 x 120 av format da-lite,projection screens,,,
32,0,da-lite da-glas deluxe rear projection screen - 96 x 96 av format 6128.99,electronics - general,da-lite,27651,,da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99,projection screens,,,
33,0,da-lite high power designer contour manual screen with csr - 50 x 67 video format 92290 512.99,electronics - general,da-lite,,,high power designer contour manual screen with csr and top black drop - 45 x 80 hdtv format size 52 x 92 projection screens da-lite,,,,
34,0,hon 10700 series right pedestal credenza 72w x 24d x 29-1 2h mahogany hon,furniture,,10707rnn,799.0,new-hon 10546lnn - 10500 series 3 4-height left pedestal credenza 72w x 24d x 29-1 2h mahogany - hon10546lnn hon,laminating supplies,,,1425.0
36,0,iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue hard drives 34837,,iomega,,89.98,iomega ego helium 320 gb usb 2.0 portable external hard drive 34943 computers accessories iomega,,,34943,
38,0,genius agama m-300 retractable mini mouse - optical - usb - black mice genius 31010615100 10.0,,,,,iconcepts usb mini retractable mouse - mouse - 3 button s - wired - usb - black computers accessories saitek usb mini retractable mouse,,,,
39,0,pc treasures clickit classic mouse black 07667 16.8,mice,pc treasures,,,pc treasures clickit classic mouse - navy 07669 pc treasures 07669,mice,,,16.95
43,0,belkin basic wireless n150 usb adapter networking f7d1101,,belkin,,29.99,belkin n150 wireless usb adapter latest generation belkin 29.99,usb network adapters,,f9l1001,
44,0,da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format 73639 181.99,electronics - general,da-lite,,,da-lite model b with csr video spectra 1.5 - projection screen - 106 in da-lite 279.5,projection screens,,video spectra 1.5,
46,0,hp c7971a lto ultrium 1 tape cartridge mp3 accessories hp,,,c7971a,39.88,tandberg lto ultrium 100 200gb tape cartridge data cartridges,,tandberg,432630,34.91
47,0,sharpie permanent markers fine point - black - 12 count,stationery & office machinery,sharpie,30001wm,8.24,new-sharpie 1738519 - grip permanent marker fine point black dozen - san1738519 shredders sharpie 33.09,,,,
50,0,panasonic slimz over-ear headphone black pink rp-hx40-pk panasonic,electronics - general,,rp-hx40-pk,34.88,panasonic rp-hje350-k slimz in-ear earbud headphones black,headphones,panasonic,rp-hje350-k,18.54
52,0,da-lite da-tex rear tensioned advantage electrol - av format 8 x 8 diagonal electronics - general,,da-lite,85375,2549.38,hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal projection screens,,da-lite,,4200.0
