id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
629,0,infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997,semistructured and structured data in the web : going back and forth,"p merialdo , p atzeni , g mecca","& hellip ; the management of semistructured data ( in conjunction with & hellip ; ,",
6299,0,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995,queries and updates in the codb p2p database system,"e franconi , g kuper , a lopatenko , i zaihrayeu",,2004.0
5068,0,implementation of two semantic query optimization techniques in db2 universal database,"q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer",vldb,1999,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0
97,0,spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003,location-based spatial queries with data sharing in mobile environment,"ws ku , r zimmermann , cn wan",,
10461,0,the mariposa distributed database management system,j sidell,sigmod record,1996,fuzziness in database management systems,p bosc,heidelberg :,
3498,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,sampling largc database for association rules,h tovienven,usa : proc of vldb . 1996.134 ~,
16203,0,xl : a platform for web services,"d florescu , a grќnhagen , d kossmann , s rost",sigmod conference,2002,mobile web services,"p farley , m capp","bt technology journal ,",2005.0
12811,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,formalization of object-oriented database model with rules,"s goutas , p soupos , d christodoulakis","information and software technology ,",1991.0
7059,0,multiple-view self-maintenance in data warehousing environments,n huyn,vldb,1997,efficient view maintenance at data warehouses,"d agrawal , a el abbadi , a singh , t yurek","sigmod rec ,",1997.0
5496,0,query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigmod conference,1996,query processing techniques for multiversion access methods,"j van den bercken , b seeger","proc . of vldb ,",1996.0
3668,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,improving object-oriented analysis,g eckertâ ? ¦,,1994.0
8839,0,belief reasoning in mls deductive databases,h jamil,sigmod conference,1999,duplicates and aggregates in deductive databases,"is muiviick , h pirahesh , r ramakrishnan","proceedings of the 16th international vldb con & ence ( brisbane & hellip ; ,",
6500,0,open object database management systems,,,1994,bilvideo video database management system,"o ulusoy , c alper",,
5438,0,foundations of statistical natural language processing - book review,,,2002,natural language processing,ak joshi,"acm sigart bulletin ,",1977.0
5983,0,guest editorial,,,2001,guest editorial,rc holte,"machine learning ,",2001.0
845,0,fault-tolerant architectures for continuous media servers,"b жzden , r rastogi , p shenoy , a silberschatz",sigmod conference,1996,fault tolerant design of multimedia servers,s berson,,1994.0
8807,0,editor 's notes,m franklin,sigmod record,1999,editors ' notes,"n van note chism , dj bickford","new directions for teaching and learning ,",
8399,0,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,fast algorithms for mining association rules in large databases,"ra as941 , r srikant","proceedings of international conference on very large & hellip ; ,",
10276,0,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,materialized view selection in a multidimensional database,"e baralis , s paraboschi , e teniente","vldb ,",1997.0
2330,0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,query processing in sdd-i : a system for distributed databases,"pa bernstein , n goodman , e wang , c reeve , jb","acm tods ,",
7691,0,query processing and optimization in oracle rdb,"g antoshenkov , m ziauddin",vldb j.,1996,query processing and caching in tertiary memory,s sarawagi,"proc . of the 21st conference on very large databases , zurich ,",
4736,0,a query language for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997,a graphical query language for mobile information systems,yh chang,"acm sigmod record ,",2003.0
785,0,concept based design of data warehouses : the dwq demonstrators,"m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou",sigmod conference,2000,design of data warehouses using metadata,"l wu , l miller , s nilakanta","information & software technology ,",2001.0
7377,0,optimization of queries with user-defined predicates,"s chaudhuri , k shim",acm trans . database syst .,1999,optimization of nested queries revisited,"ra ganski , hkt wong",proceedings of acm sigmod international conference on,
8701,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,sb merriam,"new directions for adult and continuing education ,",
5564,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,"a. : 1993 , mining association rules between sets of items in large databases","ri agrawal , t swami",proceedings of the 1993 acm sigmod international conference,
3995,0,e-services - guest editorial,,,2001,editorial,"d ralph , s searby","bt technology journal ,",2003.0
4686,0,a scalable algorithm for answering queries using views,"r pottinger , a levy",vldb,2000,answering queries using views : a survey,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2001.0
11888,0,fast computation of sparse datacubes,"k ross , d srivastava",vldb,1997,experiments with bottom-up computation of sparse and iceberg cubes,s greve,,2000.0
5981,0,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla",sigmod conference,1996,acyclic query processing in object-oriented databases .,acms anthology,,
5569,0,tail recursion elimination in deductive databases,k ross,acm trans . database syst .,1996,constraints for query optimization in deductive databases,"j harland , k ramamohanarao",,
7421,0,free parallel data mining,"b li , d shasha",sigmod conference,1998,a scalable parallel classier for data mining,"j shafer , r agrawal , m mehta","proc . 22nd international conference on vldb , mumbai , india . (",
10626,0,adaptable query optimization and evaluation in temporal middleware,"g slivinskas , c jensen , r snodgrass",sigmod conference,2001,semantic assumptions and query evaluation in temporal databases,"c bettini , xs wang , e bertino , s jajodia","proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0
2480,0,distributed transactions in practice,"p ram , l do , p drew",sigmod record,1999,transactions and consistency in distributed database systems,"il traiger , j gray , ca galtieri , bg lindsay","acm transactions on database systems ,",1982.0
15032,0,repositories and object oriented databases,p bernstein,sigmod record,1998,introduction to object-oriented databases,"ma garvey , ms jackson","information and software technology ,",1989.0
7940,0,watermarking relational databases,"r agrawal , j kiernan",vldb,2002,a method of protecting relational databases copyright with cloud watermark,"y zhang , niu xiamu , z dongning",,
13108,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,concurrency control,hjrr index,"ieee transactions on knowledge and data engineering ,",
3282,0,interaction of query evaluation and buffer management for information retrieval,"b jѓnsson , m franklin , d srivastava",sigmod conference,1998,interactive information systems : information access and retrieval,r oliver,"electronic library ,",1995.0
15542,0,query processing in tertiary memory databases,s sarawagi,vldb,1995,query processing in a distributed data base system,"r epstein , m stonebraker , e wong","proc . acm sigmod conf . on management of data , austin , tex. , & hellip ; ,",
2303,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,access path selectlon in a relational database management system,"mm astrahan , pg sellinger , dd chamberlain , ra","proceedings ( 1979 ) sigmod conference ,",
13471,0,staggered striping in multimedia information systems,"s berson , s ghandeharizadeh , r muntz , x ju",sigmod conference,1994,diskscheduling in multimedia i/o system,alnrj wyllie,proceedings of acm,
10884,0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,optimization in compilers,"f allen , b rosen , k zadeck",to,
14741,0,algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,aggregate-query processing in data warehousing environments,agvhd quass,,
8205,0,editorial,,,2001,editorial,ca insko,"journal of personality and social psychology ,",
15317,0,"object-relational database systems : principles , products , and challenges ( tutorial )",,,1997,set-oriented production rules in relational database systems,portal.acm.org,,
4921,0,editorial,,,2002,guest editorial,"v atluri , a joshi , y yesha","the vldb journal the international journal on very large & hellip ; ,",2003.0
1413,0,the infosleuth project,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997,the mitdice project,"d sriram , r logcher","ieee computer ,",
5457,0,guest editorial,,,2003,editorial,"pj sheppard , gr walker","bt technology journal ,",1997.0
11406,0,watermarking relational databases,"r agrawal , j kiernan",vldb,2002,updating relational databases through object-based views,"t barsalou , g wiederhold",,
1052,0,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla",sigmod conference,1996,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han","vldb ,",1994.0
5319,0,pix : exact and approximate phrase matching in xml,"s amer-yahia , m fernandez , d srivastava , y xu",sigmod conference,2003,phrase matching in xml,"s amer-yahia , m fernandez , d srivastava , y xu","proceedings of the international conference on very large & hellip ; ,",2003.0
5745,0,editor 's notes,a segev,sigmod record,1994,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0
6764,0,design and implementation of a genetic-based algorithm for data mining,s choenni,vldb,2000,on the design and quantification of privacy preserving data mining algorithms,"d agrawal , cc aggarwal",,
6840,0,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000,research issues in spatial databases,o guenther,"sigmod record ,",1990.0
3697,0,explaining differences in multidimensional aggregates,s sarawagi,vldb,1999,on the computation of multidimensional aggregates,"a sameet , a rakesh , md prasadâ ? ¦","proceedings of the 22nd international conference on very & hellip ; ,",
13382,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,improving semantic specification in a relational database,e sciore,,
7877,0,guest editorial,,,2000,guest editorial,aw czarnik,"acc . chem . res ,",
2293,0,dataguides : enabling query formulation and optimization in semistructured databases,"r goldman , j widom",vldb,1997,query scheduling and optimization in parallel and multimedia databases,mn garofalakis,,1998.0
510,0,the multidimensional database system rasdaman,"p baumann , a dehmel , p furtado , r ritsch , n widmann",sigmod conference,1998,the coral deductive database system .,"acms anthology , p edition",,
1613,0,the grid : an application of the semantic web,"c goble , d roure",sigmod record,2002,the semantic web,p bonner,"pc magazine ,",
15757,0,design and analysis of parametric query optimization algorithms,s ganguly,vldb,1998,parametric query optimization : a non-geometric approach,svum rao,,1999.0
16282,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,acm multimedia '94 conference workshop on multimedia database management systems,pb berra,"sigmod record ,",1995.0
8351,0,nsf workshop on industrial/academic cooperation in database systems,,,1999,notes on database operating systems,jn gray,lecture notes in computer science .,
3133,0,a language for manipulating arrays,"a marathe , k salem",vldb,1997,a visual language for querying and updating graphs,"h blau , n immerman , d jensen",,
11894,0,storing and querying ordered xml using a relational database system,"i tatarinov , s viglas , k beyer , j shanmugasundaram , e shekita , c zhang",sigmod conference,2002,unisql/x unified relational and object-oriented database system,w kim,"sigmod conference ,",1994.0
13744,0,stream processing of xpath queries with predicates,"a gupta , d suciu",sigmod conference,2003,stream processing of xpath queries with predicates,"k ashish , s dan","proc . of the sigmod . acm ,",
10362,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,querying object-orienteddatabases,"wk michaelkifer , y sagiv","proc . of acm sigmod ,",
14232,0,modeling high-dimensional index structures using sampling,"c lang , a singh",sigmod conference,2001,high-dimensional index structures,"s berchtold , da keim","proceedings of sigmod ,",
8804,0,xsb as a deductive database,"k sagonas , t swift , d warren",sigmod conference,1994,integrity constraint in deductive databases,"ra kowalski , f sadri , p soper","proceedings of the 13th vldb conference , brighton",
16043,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,the ccube constraint object-oriented database,"a brodsky , ve segal , j chen , pa exarkhopoulo",proc . acm sigmod conf . on management of,
7068,0,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,design and implementation of an extensible database management system supporting user defined data,"v linnemann , p dadam , r erbe , g walch , m wallrath","vldb ,",1988.0
11551,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,selection and maintenance of views in a data warehouse,h gupta,,1999.0
15522,0,storage and retrieval of xml data using relational databases,,,2001,storing and querying ordered xml using a relational database system,i tatarinov,"sigmod conference ,",2002.0
5240,0,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,incomplete information in relational databases,"t imieliã?nski , w lipski","j. acm ,",
9879,0,fast algorithms for universal quantification in large databases,"g graefe , r cole",acm trans . database syst .,1995,algorithms for mining distance based outliers in large databases,"e knorr , r ng","proceedings of vldb , new york ,",
15790,0,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,t2 : a customizable parallel database for multi-dimensional data,"c chang , a acharya , a sussman , j saltz","sigmod record ,",1998.0
757,0,e-services - guest editorial,,,2001,guest editorial,"jr gruser , l raschid , v zadorozhny","the vldb journal ,",2000.0
12578,0,iterative dynamic programming : a new class of query optimization algorithms,"d kossmann , k stocker",acm trans . database syst .,2000,design and analysis of parametric query optimization algorithms,s ganguly,"proceedings of the international conference on very large & hellip ; ,",1998.0
