id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
1,1,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0
2,1,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0
3,0,dna-miner : a system prototype for mining dna sequences,"j han , h jamil , y lu , l chen , y liao , j pei",sigmod conference,2001,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
4,0,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",
5,0,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,distributed transaction support for workflow management applications,"j vonk , p grefen , e boertjes , p apers","procs . 10th int . conf . on database and expert system & hellip ; ,",
6,0,the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0
10,0,online association rule mining,c hidber,sigmod conference,1999,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
11,0,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
12,1,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
13,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
14,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,
15,0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,rt snodgrass,,
17,1,storage and retrieval of xml data using relational databases,,,2001,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
18,0,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
20,1,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),
22,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,
23,1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
25,0,asserting beliefs in mls relational models,"n jukic , s vrbsky",sigmod record,1997,learning probabilistic relational models,l getoorâ ? ¦,"lecture notes in computer science ,",2000.0
26,0,exploiting main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod record,1996,index concurrency control in firm real-time dbms,"b goyal , j haritsa , s seshadri , v srinivasan","proceedings of the international conference on very large & hellip ; ,",1995.0
29,1,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
30,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,
31,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,incremental cluster for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu","proc . of 24 thintâ ?? l conf . of vldb ,",
33,0,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon","sigmod record ,",1998.0
34,0,open object database management systems,,,1994,case for output management systems .,k schwaber,"computerworld. ,",1981.0
35,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,redundancy in spatial databases,ja orenstein,,
39,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,
40,0,foreword : management of semistructured data,,,1997,lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmanâ ? ¦","acm sigmod ,",
42,0,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,
43,0,an efficient method for performing record deletions and updates using index scans,c mohan,vldb,2002,an efficient indexing method for partitioned data,"d choy , c mohan","ibm research report , ibm almaden research center , january ,",
45,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996.0
46,0,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,"support for polylingual persistence , interoperability and naming in object-oriented databases","a kaplan , jcp wileden","technical report tr-96-4 , university of massachusetts , computer",
48,0,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,j. widom change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina",proc . of the acm sigmod int . conf . on management of,
50,0,data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995,the management transition,l goff,"computerworld ,",
51,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,implementation and research issues in query processing for wireless sensor networks,"w hong , s madden",,
52,0,dwms : data warehouse management system,n mohan,vldb,1996,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",
55,0,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,efficient timestamping in databases,"k torp , cs jensen , rt snodgrass","vldb journal , to",
59,0,chair 's message,,,1998,sigcas chair 's message,cd martin,"computers and society ,",
61,0,guest editorial,,,2000,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0
63,0,editorial,,,2001,guest editorial,c allocchio,"computer networks ,",2000.0
64,0,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,efficient and effective clustering methods for spatial data mining,"tn raymond , j han","proc . of vldb conf ,",
67,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,management of multidimensional discrete data in database systems,pasb furtado,,
69,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential queries,"r ramakrishnan , c beeri , r krishnamurthy","& hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,",
