model,dataset,precision,recall,accuracy,f1
attention,ab,0.6496815286624203,0.49514563106796117,0.9170146137787056,0.5619834710743801
attention,ag,0.572139303482587,0.49145299145299143,0.9105974705625818,0.528735632183908
attention,ia,0.9523809523809523,0.7407407407407407,0.926605504587156,0.8333333333333334
attention,wm,0.3742690058479532,0.3316062176165803,0.8848218643240605,0.3516483516483516
hybrid,ab,0.7307692307692307,0.6456310679611651,0.9363256784968684,0.6855670103092784
hybrid,ag,0.6781115879828327,0.6752136752136753,0.9341474051460968,0.6766595289079229
hybrid,ia,0.9259259259259259,0.9259259259259259,0.963302752293578,0.9259259259259259
hybrid,wm,0.60625,0.5025906735751295,0.9224011713030746,0.5495750708215298
rnn,ab,0.5138888888888888,0.3592233009708738,0.894572025052192,0.4228571428571428
rnn,ag,0.6515151515151515,0.5512820512820513,0.9241168774531182,0.5972222222222221
rnn,ia,0.7666666666666667,0.8518518518518519,0.8990825688073395,0.8070175438596491
rnn,wm,0.3669724770642202,0.20725388601036268,0.8916544655929722,0.26490066225165565
sif,ab,0.40186915887850466,0.2087378640776699,0.8815240083507306,0.2747603833865815
sif,ag,0.407202216066482,0.6282051282051282,0.8687309201918884,0.49411764705882355
sif,ia,0.0,0.0,0.7522935779816514,0.0
sif,wm,0.3021978021978022,0.2849740932642487,0.8706686188384578,0.29333333333333333
majority vote,ab, 0.6647058823529411, 0.5485436893203883, 0.9217118997912317, 0.601063829787234
average,ab, 0.6864406779661016, 0.3932038834951456, 0.9154488517745303,0.5
majority vote,ag, 0.6532258064516129, 0.6923076923076923, 0.9310946358482337,0.6721991701244814
average,ag, 0.6826923076923077, 0.6068376068376068, 0.9310946358482337,0.6425339366515838
majority vote,ia,0.9230769230769231,0.8888888888888888,0.9541284403669725,0.9056603773584906
average,ia,0.9583333333333334,0.8518518518518519,0.9541284403669725,0.9019607843137256
majority vote,wm,0.487012987012987,0.38860103626943004,0.9038555392874573,0.43227665706051877
average,wm,0.5154639175257731,0.25906735751295334,0.9072718399219132,0.3448275862068965
